UUID,Source ID,Name,Short Name,Video Definition,Follow DTCP,Value,Encryption Mode,Program Provision,EMI,APS,CIT,RCT
e83ea47c-7289-4737-8521-672e523126a4,10584,FCS Atlantic,Atlantic,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
7d3daaa6-429c-4949-8510-79342d78686e,4178,Discovery,Disc,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
e40d8930-8c24-4036-9343-5bb0b914dfe2,18968,National Geographic Wild HD,NG Wild HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
a0bb0b94-62eb-464c-a8e3-4ddc480fbc6e,4164,QVC,QVC,SD,OFF,NORMAL,FWK,INTERNAL,COPY_FREELY,OFF,OFF,OFF
d8e975f2-a9bb-4e22-bb3e-73522c801d53,17446,E! HD,E! HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
5c1fdceb-92ee-45bd-a8d1-4d0a74226a28,23795,Bravo HD,Bravo HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
8aa4a37a-3c87-4f0f-b2b8-c08a83fa1eba,19213,DIY HD,DIY HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
07c8851a-1010-4090-80da-319a10c7f573,16430,FYI HD,FYI HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
5916b876-40de-4d38-bf94-6ab9b1fe0b81,10021,Animal Planet,Animal,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
cceca085-116b-4217-882e-f7cf3a13ecdd,10586,FCS Pacific,Pacific,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
85ff46ab-f2c4-49a2-82d9-a4fbab8b44dd,18662,Investigative Discovery HD,ID HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,ON,OFF
ffcef69d-7f70-4ce2-9f6b-75ed5e9395e1,8675,DIY,DIY,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,ON,OFF
fe9fa433-66b5-4b32-b72a-771791d92e0a,4141,Ion,Ion,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
22928d7e-2e0e-400c-b641-6bd23f34f241,18959,National Geographic Wild,Nat Geo Wild,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
83dbf4a9-981a-4e34-82d5-3627e9c00435,4100,AMC,AMC,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
0c6c631b-9f9c-4380-8df4-ff241088e317,16332,CNBC HD,CNBC HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
ed306467-620c-4ca2-993a-6a29f74c5255,8863,A&E,A&E,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
f282de2f-fae4-40be-b6f6-865309b75ef9,24085,Discovery HD,Disc HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
b0c4eb54-9960-4f7a-aa58-be4061f59cc4,23468,National Geographic HD,Nat Geo HD,HD,OFF,HIGH,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
9ef6b5c6-b608-43a0-9af5-97b0ec8a92bf,12045,Encore Action,Action,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
044289e7-275b-4c6e-8070-af879c6cba7e,4241,Travel,Travel,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
4e030443-2ffb-4ff4-b8e9-39c3f716ff8c,12023,Encore Love,Love,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
875c528f-5fed-49ad-a8cb-91c782f45239,10040,Nickelodeon 2,Nick2,SD,OFF,NORMAL,FE-MPM,INTERNAL,COPY_FREELY,OFF,OFF,OFF
